School Name,Reading,Math,Writing,Total,Address,lat,lng
BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,400,357,390,1147,"800 E Gun Hill Rd, Bronx, NY 10467, USA",40.8753426,-73.8615889
BRONX LAB SCHOOL,377,391,367,1135,"800 E Gun Hill Rd, Bronx, NY 10467, USA",40.8748792,-73.8619068
ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,386,394,361,1141,"921 E 228th St, Bronx, NY 10466, USA",40.8880709,-73.8527006
HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,381,376,354,1111,"800 E Gun Hill Rd, Bronx, NY 10467, USA",40.8754469,-73.8611769
COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,444,471,433,1348,"925 Astor Ave, Bronx, NY 10469, USA",40.8603747,-73.8603398
BRONX ACADEMY OF HEALTH CAREERS,387,365,383,1135,"800 E Gun Hill Rd, Bronx, NY 10467, USA",40.8750988,-73.8616623
ASTOR COLLEGIATE ACADEMY,387,391,391,1169,"925 Astor Ave, Bronx, NY 10469, USA",40.8599147,-73.8600786
CHRISTOPHER COLUMBUS HIGH SCHOOL,367,361,353,1081,"3000 SW 87th Ave, Miami, FL 33165, USA",25.741643,-80.338617
BRONX HIGH SCHOOL FOR THE VISUAL ARTS,419,433,416,1268,"2040 Antin Pl, Bronx, NY 10462, USA",40.8517412,-73.8644982
HARRY S TRUMAN HIGH SCHOOL,386,397,368,1151,"750 Baychester Ave, Bronx, NY 10475, USA",40.8741473,-73.8328179
NEW WORLD HIGH SCHOOL,332,381,335,1048,"921 E 228th St, Bronx, NY 10466, USA",40.8880709,-73.8527006
