Node,closeness Centrality,standardized closeness
Myrtle-Willoughby Avs,6.84E-02,-2.56E-01
Bedford-Nostrand Avs,7.21E-02,-6.23E-02
Classon Av,0.07631578947,0.1608629968
Clinton-Washington Avs and Fulton St,0.08143017596,0.4287321118
Fulton St and Lafayette Av,0.08830694275,0.7889069709
Bergen St and Warren St,0.08830694275,0.7889069709
Carroll St,0.08293612965,0.5076073554
Smith-9 Sts,0.08726178536,0.7341662141
4 Av-9 St,0.09271099744,1.019572024
7 Av and 9th St,0.0849609375,0.6136579029
15 St-Prospect Park,0.07837837838,0.26889235
Fort Hamilton Pkwy and Prospect Av,0.07271815446,-0.02756533341
Church Av and McDonald Av,0.06779925187,-0.2851958599
Astoria-Ditmars Blvd,1.03E-01,1.58E+00
Astoria Blvd,1.02E-01,1.53E+00
30 Av,9.32E-02,1.05E+00
Broadway and 31st St,8.85E-02,8.00E-01
36 Av,0.08854060655,0.8011452552
39 Av-Dutch Kills,0.0945446642,1.11561144
Lexington Av/59 St,0.09487459106,1.132891561
5 Av/59 St,0.08789654476,0.7674121253
57 St-7 Av,0.08280982296,0.5009919654
49 St,0.07843490804,0.2718531256
59 St and 4th Av,0.07475511256,0.07912159068
8 Av and 61st St,7.13E-02,-1.02E-01
Fort Hamilton Pkwy and 62nd St,7.04E-02,-1.50E-01
New Utrecht Av,0.07532467532,0.1089527881
18 Av and 64 St,0.07515549413,0.1000918195
20 Av and 64th St,7.00E-02,-1.70E-01
"Bay Pkwy, Avenue O and 8th St",6.55E-02,-4.06E-01
Kings Hwy and 8th St,6.15E-02,-6.15E-01
Avenue U and W 8 St,5.80E-02,-8.00E-01
86 St and 7th St,5.48E-02,-9.66E-01
96 St and 2nd Av,5.79E-02,-8.03E-01
86 St and 2nd Av,5.63E-02,-8.90E-01
72 St and 2nd Av,5.80E-02,-8.00E-01
Lexington Av/63 St,5.89E-02,-7.49E-01
Parkside Av,5.79E-02,-8.03E-01
Cortelyou Rd,6.08E-02,-6.54E-01
Avenue H,6.03E-02,-6.80E-01
Avenue J,6.36E-02,-5.05E-01
Avenue M,6.69E-02,-3.34E-01
Avenue U and East 16th St,6.66E-02,-3.50E-01
Neck Rd,7.10E-02,-1.20E-01
Ocean Pkwy,7.56E-02,1.25E-01
W 8 St-NY Aquarium,7.97E-02,3.39E-01
67 Av,7.81E-02,2.54E-01
63 Dr-Rego Park,8.35E-02,5.35E-01
Woodhaven Blvd and 59th Av,8.23E-02,4.73E-01
Grand Av-Newtown,8.84E-02,7.92E-01
Elmhurst Av,0.0812476653,0.4191730042
65 St,0.08003679853,0.3557531178
Northern Blvd,8.57E-02,6.55E-01
46 St,9.37E-02,1.07E+00
Steinway St,0.1000690131,1.404952587
36 St,0.1040172166,1.611742158
28 St and Broadway,0.1025943396,1.537218105
23 St and Broadway,0.09273076103,1.020607154
8 St-NYU,5.68E-02,-8.59E-01
Prince St,6.03E-02,-6.80E-01
City Hall,6.41E-02,-4.79E-01
Cortlandt St,6.84E-02,-2.52E-01
Whitehall St-South Ferry,0.0733805668,0.007128917238
Court St,0.07906215921,0.3047057887
Union St,0.08733186107,0.7378364725
Prospect Av and 4th Av,0.09306803594,1.038272134
25 St,0.0997706422,1.389325229
45 St,0.0983940285,1.317224246
53 St,9.14E-02,9.50E-01
Bay Ridge Av,0.08413926499,0.5706223035
77 St and Fourth Av,0.07798494084,0.2482858186
86 St and 4th Av,0.07269385027,-0.02883828051
Bay Ridge-95 St,0.06811775759,-0.2685139282
121 St,6.41E-02,-4.76E-01
104 St and Jamaica Av,6.07E-02,-6.58E-01
Woodhaven Blvd and Jamaica Av,5.76E-02,-8.17E-01
75 St-Elderts Ln,5.49E-02,-9.59E-01
Crescent St,5.25E-02,-1.09E+00
Norwood Av,6.74E-02,-3.04E-01
Van Siclen Av and Fulton St,6.32E-02,-5.24E-01
Alabama Av,6.28E-02,-5.49E-01
Chauncey St,6.67E-02,-3.42E-01
Gates Av,0.07141684452,-0.09572223596
Myrtle Av,0.07141684452,-0.09572223596
Marcy Av,6.67E-02,-3.42E-01
Delancey St-Essex St,6.65E-02,-3.55E-01
Bowery,0.07086999022,-0.1243640638
Chambers St and Centre St,0.07619548082,0.1545617576
Broad St,0.1002766252,1.415826396
St George,0.08153701968,0.4343281167
Tompkinsville,0.07571801567,0.1295542286
Stapleton,6.96E-02,-1.89E-01
Clifton,6.51E-02,-4.24E-01
Grasmere,6.12E-02,-6.31E-01
Old Town,5.77E-02,-8.16E-01
Dongan Hills,0.07149901381,-0.09141856964
Jefferson Av,0.07699115044,0.1962354399
Grant City,0.08336527405,0.5300840556
New Dorp,0.09085213033,0.922212724
Oakwood Heights,0.08430232558,0.5791627016
Bay Terrace,0.07315842583,-0.004505851647
Great Kills,0.07302333389,-0.01158137446
Eltingville,0.068288854,-0.2595526493
Annadale,0.06848236776,-0.2494172482
Huguenot,0.06847158823,-0.2499818328
Prince's Bay,6.44E-02,-4.61E-01
Pleasant Plains,6.12E-02,-6.33E-01
Richmond Valley,5.79E-02,-8.01E-01
Arthur Kill,0.09868421053,1.332422706
Tottenville,0.1022566996,1.519534002
,0.1022566996,1.519534002
,0.1018020126,1.495719495
,0.1030561478,1.561405592
,0.09512355128,1.145931004
,0.09600529684,1.192112967
,0.094750599,1.126397401
,0.1002766252,1.415826396
,0.09188846641,0.9764914593
,0.09167544784,0.9653344815
,0.09081419624,0.9202259032
,0.08378274268,0.5519492299
,0.08384734002,0.5553325547
,0.07742969028,0.2192042317
,0.07190082645,-0.07037338732
,0.06708821715,-0.3224367375
,0.08136924804,0.4255409743
,0.07575757576,0.1316262126
,7.08E-02,-1.26E-01
,6.65E-02,-3.53E-01
,6.27E-02,-5.54E-01
,5.92E-02,-7.35E-01
,5.61E-02,-8.97E-01
,5.33E-02,-1.04E+00
,5.08E-02,-1.18E+00
,4.84E-02,-1.30E+00
,4.63E-02,-1.41E+00
,4.43E-02,-1.51E+00
,4.25E-02,-1.61E+00
,4.08E-02,-1.70E+00
,3.93E-02,-1.78E+00
,3.78E-02,-1.85E+00
,3.65E-02,-1.93E+00
,3.52E-02,-1.99E+00
,3.40E-02,-2.05E+00
,3.29E-02,-2.11E+00
,3.19E-02,-2.17E+00
