School,Station,Node Degree,Closeness,Betweenness,Eigenvector,Swipes,Student Achievement,Rigorous Instruction,Collaborative Teachers,Supportive Environment,Effective School Leadership,Strong Family-Community Ties,Trust
Frank McCourt High School - [HS] 03M417,86 St and Broadway,-0.32,0.6495793677,-0.6627227409,-0.2033913482,1.646353658,3.96,3.56,4.09,3.37,3.51,3.26,3.33
Beacon High School - [HS] 03M479,42 St-Port Authority Bus Terminal,0.52,1.18767783,-0.1020180513,0.7234743633,1.646353658,4.49,3.52,2.69,3.7,2.91,2.43,2.29
"High School for Law, Advocacy and Community Justice - [HS] 03M492",66 St-Lincoln Center,-0.32,1.067649203,-0.5241224199,0.214017372,1.646353658,3.36,3.62,3.34,2.76,2.59,3.18,1.66
High School of Arts and Technology - [HS] 03M494,66 St-Lincoln Center,-0.32,1.067649203,-0.5241224199,0.214017372,1.351321068,3.22,1.88,1.92,2.85,1.95,3.55,2.84
Manhattan / Hunter Science High School - [HS] 03M541,66 St-Lincoln Center,-0.32,1.067649203,-0.5241224199,0.214017372,1.646353658,4.66,4.32,3.0,4.21,3.76,3.08,3.39
Young Women's Leadership School - [HS] 03M610,103 St and Broadway,-0.32,0.676232977,0.7707425013,-0.2810423263,1.147950025,4.21,3.86,4.23,3.51,3.97,2.89,3.44
Special Music School - [HS] 03M859,66 St-Lincoln Center,-0.32,1.067649203,-0.5241224199,0.214017372,1.251515042,4.87,4.97,4.55,4.43,4.45,4.2,3.97
Frederick Douglass Academy II Secondary School - [HS] 03M860,116 St and Frederick Douglass Blvd,-0.32,0.5267395078,-0.4641095252,-0.291084006,1.350887339,3.52,2.87,3.18,3.95,3.36,2.95,2.57
Esperanza Preparatory Academy - [HS] 04M372,110 St,-0.32,0.2264357354,-0.6581910028,-0.3699147864,1.338694715,3.63,3.35,3.53,3.47,3.54,2.62,3.02
Manhattan Center for Science and Mathematics - [HS] 04M435,116 St and Lexington Av,-0.32,0.5638137359,-0.6007330387,-0.3553313364,1.338694715,4.36,4.94,4.93,4.49,4.86,3.18,4.52
Park East High School - [HS] 04M495,103 St and Lexington,-0.32,0.4215587616,-0.6329960305,-0.3582904754,1.338694715,4.46,4.02,4.29,4.11,3.93,3.89,3.95
Central Park East High School - [HS] 04M555,103 St and Lexington,-0.32,0.4215587616,-0.6329960305,-0.3582904754,1.100143372,4.57,4.77,4.43,4.34,3.81,3.72,4.04
"Heritage School, The - [HS] 04M680",103 St and Lexington,-0.32,0.4215587616,-0.6329960305,-0.3582904754,1.675268973,3.11,2.25,3.55,3.54,3.51,3.8,2.99
Eagle Academy for Young Men of Harlem - [HS] 05M148,135 St and St. Nicholas Av,-0.32,0.5937575991,-0.6685599181,-0.263886776,1.100143372,3.47,3.27,3.49,3.74,3.94,2.13,2.97
The Urban Assembly School for Global Commerce - [HS] 05M157,125 St and Lexington Av,1.37,0.9623006414,3.609438206,-0.2815290538,1.226021373,2.84,2.61,3.15,3.75,3.73,3.77,3.64
Mott Hall High School - [HS] 05M304,135 St and St. Nicholas Av,-0.32,0.5937575991,-0.6685599181,-0.263886776,1.033108035,3.27,2.7,3.56,3.13,3.57,3.04,3.59
Urban Assembly School for the Performing Arts - [HS] 05M369,125 St and Broadway,-0.32,-0.201,0.5100276885,-0.38,1.265057048,3.03,3.09,2.6,2.71,2.6,2.51,2.13
Frederick Douglass Academy - [HS] 05M499,Harlem-148 St,-1.17,-0.26,-0.6685599181,-0.381,1.128191227,2.91,2.22,2.82,2.58,2.52,1.58,3.05
Thurgood Marshall Academy for Learning and Social Change - [HS] 05M670,135 St and Lenox Av,0.52,0.3024491518,-0.1360713594,-0.377126552,1.155130661,3.11,3.14,4.07,3.96,3.62,2.77,3.24
"High School for Mathematics, Science and Engineering at City College - [HS] 05M692",137 St-City College,-0.32,-0.424,0.4221902945,-0.381,1.293827785,4.99,4.69,4.11,4.39,4.03,3.42,4.11
Inwood Early College for Health and Information Technologies - [HS] 06M211,Dyckman St and Broadway,-0.32,-0.67,-0.5750718382,-0.381,1.100143372,3.17,2.63,2.6,3.52,3.29,4.25,3.72
City College Academy of the Arts - [HS] 06M293,Dyckman St and Nagle Av,-0.32,-1.35,-0.1147367567,-0.381,1.265057048,3.93,3.22,3.19,3.5,2.91,3.67,3.73
