School Name,Reading,Math,Writing,Total,Address,lat,lng,Stop Name,Stop Lat,Stop Lng
BRONX SCHOOL OF LAW AND FINANCE,402,395,385,1182,"99 Terrace View Ave #804, Bronx, NY 10463, USA",40.87783,-73.9138,,,
INTERNATIONAL SCHOOL FOR LIBERAL ARTS,300,333,301,934,"2780 Reservoir Ave, Bronx, NY 10468, USA",40.87044,-73.8969,,,
INsTECH ACADEMY (M.S. / HIGH SCHOOL 368),390,408,383,1181,"Mississippi, USA",32.35467,-89.3985,,,
KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),392,401,387,1180,"500 E Fordham Rd, Bronx, NY 10458, USA",40.85984,-73.8882,,,
ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),343,356,330,1029,"99 Terrace View Ave, New York, NY 10463, USA",40.87705,-73.9126,,,
HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,370,371,365,1106,"2780 Reservoir Ave, Bronx, NY 10468, USA",40.87078,-73.8975,,,
BELMONT PREPARATORY HIGH SCHOOL,404,418,400,1222,"500 E Fordham Rd, Bronx, NY 10458, USA",40.85966,-73.888,,,
FORDHAM HIGH SCHOOL FOR THE ARTS,355,350,372,1077,"500 E Fordham Rd, Bronx, NY 10458, USA",40.85984,-73.8882,,,
FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,367,385,367,1119,"500 E Fordham Rd, Bronx, NY 10458, USA",40.85987,-73.8883,,,
BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,366,364,352,1082,"500 E Fordham Rd, Bronx, NY 10458, USA",40.85969,-73.8881,,,
DEWITT CLINTON HIGH SCHOOL,419,426,410,1255,"100 W Mosholu Pkwy S, Bronx, NY 10468, USA",40.88122,-73.8876,,,
"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",423,420,427,1270,"2780 Reservoir Ave, Bronx, NY 10468, USA",40.87085,-73.8974,,,
BRONX HIGH SCHOOL OF SCIENCE,632,688,649,1969,"75 W 205th St, Bronx, NY 10468, USA",40.87839,-73.8911,,,
JOHN F. KENNEDY HIGH SCHOOL,351,362,339,1052,"99 Terrace View Ave, Bronx, NY 10463",40.87778,-73.9148,,,
MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,414,435,414,1263,"99 Terrace View Ave, Bronx, NY 10463, USA",40.87766,-73.9133,,,
BRONX THEATRE HIGH SCHOOL,348,362,354,1064,"99 Terrace View Ave, Bronx, NY 10463, USA",40.87769,-73.9133,,,
DISCOVERY HIGH SCHOOL,372,379,364,1115,"1335 Old Norcross Rd, Lawrenceville, GA 30046, USA",33.95531,-84.0348,,,
GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,362,382,356,1100,"2474 Crotona Ave, Bronx, NY 10458",40.85548,-73.8826,,,
HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,636,648,636,1920,"2925 Goulden Ave, Bronx, NY 10468, USA",40.87477,-73.8951,,,
BRONX HEALTH SCIENCES HIGH SCHOOL,370,381,382,1133,"750 Baychester Ave, Bronx, NY 10475, USA",40.87401,-73.833,,,
BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,400,357,390,1147,"800 E Gun Hill Rd, Bronx, NY 10467, USA",40.87534,-73.8616,,,
BRONX LAB SCHOOL,377,391,367,1135,"800 E Gun Hill Rd, Bronx, NY 10467, USA",40.87488,-73.8619,,,
ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,386,394,361,1141,"921 E 228th St, Bronx, NY 10466, USA",40.88807,-73.8527,,,
HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,381,376,354,1111,"800 E Gun Hill Rd, Bronx, NY 10467, USA",40.87545,-73.8612,,,
COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,444,471,433,1348,"925 Astor Ave, Bronx, NY 10469, USA",40.86037,-73.8603,,,
BRONX ACADEMY OF HEALTH CAREERS,387,365,383,1135,"800 E Gun Hill Rd, Bronx, NY 10467, USA",40.8751,-73.8617,,,
ASTOR COLLEGIATE ACADEMY,387,391,391,1169,"925 Astor Ave, Bronx, NY 10469, USA",40.85991,-73.8601,,,
