,,,,,,,
School Name,Collaborative Teachers,Effective School Leadership,Rigorous Instruction,Supportive Environment,Strong Family-Community Ties,Trust,Student Achievement
"Science Skills Center High School for Science, Technology and the Creative Arts - [HS] 13K419",3.21,3.26,2.7,2.83,3.3,2.06,4.24
Brooklyn Technical High School - [HS] 13K430,4.01,4.09,4.35,4.14,1.85,3.37,4.82
Brooklyn International High School - [HS] 13K439,4.91,4.62,4.88,4.37,3.44,4.25,4.1
The Urban Assembly School for Law and Justice - [HS] 13K483,4.61,4.44,4.65,3.62,4.03,3.69,3.55
Urban Assembly Institute of Math and Science for Young Women - [HS] 13K527,3.4,3.02,2.35,2.99,3.18,3.57,3.79
Gotham Professional Arts Academy - [HS] 13K594,3.27,3.89,4.06,3.42,3.82,3.07,3.46
Bedford Academy High School - [HS] 13K595,3.93,3.97,4.34,3.96,4.17,3.52,4.23
George Westinghouse Career and Technical Education High School - [HS] 13K605,3.03,3.2,3.23,3.25,3.49,2.95,3.14
Benjamin Banneker Academy - [HS] 13K670,3.11,3.16,3,3.11,3.25,3.06,3.8
Juan Morel Campos Secondary School - [HS] 14K071,3.64,3.71,3.45,3.73,2.53,3.18,3.04
"Brooklyn Latin School, The - [HS] 14K449",4.05,3.97,3.63,3.8,2.75,4.02,4.81
The Williamsburg High School of Art and Technology - [HS] 14K454,4.25,3.54,3.91,3.69,3.98,3.65,3.45
PROGRESS High School for Professional Careers - [HS] 14K474,3.62,3.79,4.17,4.02,3.66,3.7,2.95
East Williamsburg Scholars Academy - [HS] 14K477,3.26,2.96,2.45,3.38,2.66,2.84,2.94
"The High School for Enterprise, Business and Technology - [HS] 14K478",2.62,2.71,3.61,3.2,2.19,2.15,3.04
Brooklyn Preparatory High School - [HS] 14K488,4.36,3.9,3.48,4.33,3.68,4.01,3.51
Williamsburg High School for Architecture and Design - [HS] 14K558,4.52,3.85,3.94,4.24,3.48,4.12,4
Williamsburg Preparatory School - [HS] 14K561,4.09,3.69,3.45,3.8,3.36,4,3.73
Lyons Community School - [HS] 14K586,3.9,4.23,3.78,3.57,4.32,3.84,3.12
A-Tech High School - [HS] 14K610,4.12,3.7,3.74,3.94,3.25,4.5,3.27
Young Women's Leadership School of Brooklyn - [HS] 14K614,3.54,4.19,3.61,3.75,3.61,3.99,3.85
El Puente Academy for Peace and Justice - [HS] 14K685,4.21,4.69,4.35,3.81,4.59,4.32,3.25
